State,Age,Gender,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","
What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"
What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ","
In general, do you think Americans should be more trusting of foreigners, or more suspicious of foreigners?",Do you agree or disagree with the following statement: People should not be so easily offended. (probe: strongly or somewhat?),"
Do you think that people should be free to express their political opinions in the workplace without getting fired?",Do you think the government should place tighter restrictions on who can buy a gun?,"On average, black people are less highly educated than other groups. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?",Do you believe Vladimir Putin when he said that he did not interfere with the 2016 presidential election?,"From what you have seen or heard, do you think Black Lives Matter is offensive?","
Do you think the government should place tighter restrictions on who can smoke marijuana?","
Do you think professional athetes should be allowed to sit or kneel during the national anthem as part of a political protest?",Do you think the government should place tighter restrictions on who can have access to pornography?,"Do you live in a city, suburb, or small town?","People from small towns tend to be less highly educated than people from big cities. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?","If Jesus were alive today, do you think he would support Donald Trump?"
TX,60,Female,55-64,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Yes
PA,60,Female,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
MD,70,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,No,Yes,Don't Know/Refused,No,Yes,Small Town,Lack of effort,Yes
SC,84,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Somewhat Disagree,No,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
NY,38,Female,35-44,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
NE,24,Male,18-24,Strong Republican,Don't Know/Refused,High school or less,,Other,Indian,Strongly Approve,More suspicious,Somewhat Agree,Yes,Don't Know/Refused,Lack of effort,No,No,No,No,No,Small Town,Don't Know/Refused,Yes
NC,78,Female,65+,Strong Republican,Don't Know/Refused,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No,Don't Know/Refused,Small Town,Don't Know/Refused,Yes
TN,86,Female,65+,Strong Republican,Don't Know/Refused,Some college,,White,,Strongly Approve,More suspicious,Somewhat Disagree,Yes,No,Circumstances beyond their control,Don't Know/Refused,No,No,Don't Know/Refused,Yes,Small Town,Circumstances beyond their control,Yes
NE,62,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Don't Know/Refused,Yes,Circumstances beyond their control,No,Yes,Yes,No,No,Don't Know/Refused,Don't Know/Refused,Yes
IN,84,Female,65+,Not very Strong Republican,Strong Conservative,High school or less,,White,,Don't Know/Refused,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,No
FL,52,Female,45-54,Strong Republican,Moderate,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,No,No,City,Don't Know/Refused,Yes
TX,72,Female,65+,Not very Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,City,Lack of effort,Yes
MA,75,Female,65+,Strong Republican,Not Very Strong Conservative,College degree,,White,,Strongly Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
NY,67,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
OK,63,Female,55-64,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Don't Know/Refused,No,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
VA,60,Male,55-64,Not very Strong Republican,Not very strong Liberal,Don't Know/Refused,,Asian,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Don't Know/Refused,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
CA,81,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,Yes
AL,80,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Don't Know/Refused,Yes,Yes,Yes,No,Yes,Suburb,Don't Know/Refused,Yes
CA,48,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,Yes,Yes,Suburb,Lack of effort,Don't Know/Refused
ID,81,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Don't Know/Refused,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
CA,83,Male,65+,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Don't Know/Refused,Yes,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
UT,47,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,No,Yes,No,Yes,Small Town,Lack of effort,No
CO,77,Male,65+,Strong Republican,Don't Know/Refused,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Don't Know/Refused,No,Yes,Yes,No,Don't Know/Refused,Small Town,Don't Know/Refused,Don't Know/Refused
OR,62,Female,55-64,Strong Republican,Not Very Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
CA,65,Female,65+,Not very Strong Republican,Moderate,Some college,,Don't Know/Refused,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,No,Yes,City,Lack of effort,Yes
NY,62,Male,55-64,Not very Strong Republican,Moderate,Some college,,White,,Strongly Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,No,Yes,No,Suburb,Circumstances beyond their control,No
MT,63,Male,55-64,Not very Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
FL,83,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Disagree,No,Yes,Lack of effort,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,Yes
LA,67,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
OK,53,Female,45-54,Not very Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Disapprove,More trusting,Strongly Agree,No,Yes,Don't Know/Refused,Don't Know/Refused,Yes,Don't Know/Refused,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
IA,43,Female,35-44,Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,Yes,Don't Know/Refused,No,No,No,Yes,Yes,City,Don't Know/Refused,Yes
NY,37,Female,35-44,Not very Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,No
KY,37,Male,35-44,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,Yes,Yes,Small Town,Don't Know/Refused,No
FL,60,Female,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,City,Don't Know/Refused,Yes
OH,80,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,Yes,No,Yes,No,Yes,Small Town,Lack of effort,Yes
NC,52,Male,45-54,Not very Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,No
FL,26,Male,25-34,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,Yes,Yes,No,Suburb,Don't Know/Refused,Yes
FL,70,Male,65+,Strong Republican,Strong Conservative,College degree,,Other,American Indian,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Don't Know/Refused,Yes,No,No,Small Town,Lack of effort,Yes
PA,54,Male,45-54,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,Suburb,Don't Know/Refused,Yes
KY,43,Female,35-44,Strong Republican,Moderate,Other,Associate's degree,White,,Don't Know/Refused,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,No,Don't Know/Refused,No,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
FL,33,Female,25-34,Not very Strong Republican,Moderate,Graduate degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,City,Don't Know/Refused,Yes
NC,70,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,Don't Know/Refused,No,No,Yes,City,Circumstances beyond their control,Yes
OK,57,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,No,Small Town,Lack of effort,Yes
FL,87,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Don't Know/Refused,Yes,No,Yes,Small Town,Lack of effort,Yes
NY,81,Male,65+,Strong Republican,Strong Conservative,College degree,,Asian,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Suburb,Lack of effort,Yes
KY,84,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More trusting,Somewhat Agree,Yes,Yes,Lack of effort,No,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
WV,60,Female,55-64,Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
ND,66,Male,65+,Not very Strong Republican,Strong Liberal,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
IA,78,Female,65+,Not very Strong Republican,Moderate,College degree,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,No
NY,78,Male,65+,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,Don't Know/Refused,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
IL,91,Female,65+,Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Agree,No,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,Small Town,Circumstances beyond their control,Yes
NJ,54,Male,45-54,Strong Republican,Strong Liberal,Graduate degree,,Don't Know/Refused,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,No,Yes,No,Don't Know/Refused,Small Town,Don't Know/Refused,Yes
AL,50,Female,45-54,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
IL,63,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,No,Don't Know/Refused,Don't Know/Refused,Yes
MI,57,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,Small Town,Lack of effort,Yes
AL,65,Male,65+,Not very Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,Yes,No,No,Yes,No,Suburb,Don't Know/Refused,No
OH,70,Female,65+,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Don't Know/Refused,No,Lack of effort,Don't Know/Refused,Yes,Don't Know/Refused,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
IN,50,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,Don't Know/Refused
NY,72,Female,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,No,No,Suburb,Circumstances beyond their control,Yes
FL,84,Male,65+,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Don't Know/Refused,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
WI,59,Female,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,Yes,City,Lack of effort,Yes
NC,63,Female,55-64,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
FL,56,Female,55-64,Not very Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,No,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,Suburb,Don't Know/Refused,No
NE,29,Male,25-34,Not very Strong Republican,Strong Conservative,Some college,,Don't Know/Refused,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,Yes,No,Suburb,Circumstances beyond their control,Yes
MD,76,Female,65+,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
SD,67,Male,65+,Not very Strong Republican,Moderate,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,Yes,No,No,Small Town,Lack of effort,Yes
IA,19,Male,18-24,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,No,Yes,Don't Know/Refused,Yes,No,No,No,No,Suburb,Circumstances beyond their control,Don't Know/Refused
CO,42,Male,35-44,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,City,Circumstances beyond their control,Yes
NE,46,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,City,Lack of effort,Yes
AZ,51,Male,45-54,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,No
IA,53,Male,45-54,Not very Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
NV,70,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
CO,59,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,No,City,Circumstances beyond their control,No
NM,35,Female,35-44,Not very Strong Republican,Strong Liberal,Some college,,Latino,,Don't Know/Refused,Don't Know/Refused,Strongly Agree,No,No,Lack of effort,Don't Know/Refused,Don't Know/Refused,No,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
OR,29,Male,25-34,Not very Strong Republican,Moderate,Graduate degree,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,No,No,No,No,No,City,Circumstances beyond their control,No
OR,71,Male,65+,Not very Strong Republican,Not very strong Liberal,High school or less,,White,,Don't Know/Refused,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,No,Yes,No,No,Small Town,Circumstances beyond their control,No
CA,70,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,Yes,Yes,Small Town,Circumstances beyond their control,Yes
UT,54,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Don't Know/Refused,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,No,Yes,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
CA,70,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,No,Small Town,Don't Know/Refused,Yes
WY,27,Male,25-34,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
